Freq.	V(vout)
2.74770436928807e+03	(1.99915529866684e+01dB,1.77449467186625e+02°)
2.87719968668573e+03	(1.99907475513170e+01dB,1.77329427026634e+02°)
3.01279793037173e+03	(1.99898645807196e+01dB,1.77203753616346e+02°)
3.15478672240090e+03	(1.99888966290611e+01dB,1.77072185023371e+02°)
3.30346724003791e+03	(1.99878355391482e+01dB,1.76934447494539e+02°)
3.45915485459461e+03	(1.99866723751806e+01dB,1.76790254975634e+02°)
3.62217980037488e+03	(1.99853973493174e+01dB,1.76639308619700e+02°)
3.79288787514584e+03	(1.99839997414950e+01dB,1.76481296284969e+02°)
3.97164117362133e+03	(1.99824678119149e+01dB,1.76315892023758e+02°)
4.15881885551327e+03	(1.99807887055718e+01dB,1.76142755564012e+02°)
4.35481794978031e+03	(1.99789483481527e+01dB,1.75961531785508e+02°)
4.56005419677946e+03	(1.99769313325869e+01dB,1.75771850193192e+02°)
4.77496293010708e+03	(1.99747207954846e+01dB,1.75573324390585e+02°)
4.99999999999990e+03	(1.99722982826513e+01dB,1.75365551556760e+02°)
5.23564274025439e+03	(1.99696436028207e+01dB,1.75148111931018e+02°)
5.48239098071581e+03	(1.99667346687023e+01dB,1.74920568310123e+02°)
5.74076810748429e+03	(1.99635473244002e+01dB,1.74682465563767e+02°)
6.01132217308694e+03	(1.99600551582185e+01dB,1.74433330174862e+02°)
6.29462705897070e+03	(1.99562292998404e+01dB,1.74172669812311e+02°)
6.59128369278189e+03	(1.99520382008420e+01dB,1.73899972945061e+02°)
6.90192132301427e+03	(1.99474473974918e+01dB,1.73614708507572e+02°)
7.22719885372948e+03	(1.99424192547888e+01dB,1.73316325628302e+02°)
7.56780624218087e+03	(1.99369126907140e+01dB,1.73004253434413e+02°)
7.92446596230539e+03	(1.99308828797138e+01dB,1.72677900947711e+02°)
8.29793453718762e+03	(1.99242809345078e+01dB,1.72336657088812e+02°)
8.68900414374668e+03	(1.99170535654219e+01dB,1.71979890808642e+02°)
9.09850429304971e+03	(1.99091427165999e+01dB,1.71606951368748e+02°)
9.52730358981602e+03	(1.99004851786456e+01dB,1.71217168794364e+02°)
9.97631157484417e+03	(1.98910121775147e+01dB,1.70809854526842e+02°)
1.04464806542700e+04	(1.98806489398061e+01dB,1.70384302304851e+02°)
1.09388081197475e+04	(1.98693142350195e+01dB,1.69939789306617e+02°)
1.14543382638386e+04	(1.98569198958605e+01dB,1.69475577588407e+02°)
1.19941645950972e+04	(1.98433703182911e+01dB,1.68990915857354e+02°)
1.25594321575476e+04	(1.98285619437709e+01dB,1.68485041619480e+02°)
1.31513399594766e+04	(1.98123827270129e+01dB,1.67957183746293e+02°)
1.37711435166905e+04	(1.97947115936036e+01dB,1.67406565505455e+02°)
1.44201575156327e+04	(1.97754178930327e+01dB,1.66832408102536e+02°)
1.50997586020097e+04	(1.97543608540294e+01dB,1.66233934781579e+02°)
1.58113883008415e+04	(1.97313890506374e+01dB,1.65610375531795e+02°)
1.65565560741292e+04	(1.97063398891602e+01dB,1.64960972445939e+02°)
1.73368425226262e+04	(1.96790391279656e+01dB,1.64284985772335e+02°)
1.81539027385046e+04	(1.96493004441400e+01dB,1.63581700696813e+02°)
1.90094698160276e+04	(1.96169250630721e+01dB,1.62850434882519e+02°)
1.99053585276744e+04	(1.95817014691927e+01dB,1.62090546784238e+02°)
2.08434691735162e+04	(1.95434052182100e+01dB,1.61301444739103e+02°)
2.18257916120077e+04	(1.95017988731660e+01dB,1.60482596816949e+02°)
2.28544094807432e+04	(1.94566320883819e+01dB,1.59633541390830e+02°)
2.39315046161313e+04	(1.94076418667050e+01dB,1.58753898361083e+02°)
2.50593616813630e+04	(1.93545530162392e+01dB,1.57843380934966e+02°)
2.62403730124880e+04	(1.92970788327528e+01dB,1.56901807828346e+02°)
2.74770436928805e+04	(1.92349220329865e+01dB,1.55929115716993e+02°)
2.87719968668571e+04	(1.91677759619251e+01dB,1.54925371723560e+02°)
3.01279793037171e+04	(1.90953260935452e+01dB,1.53890785683772e+02°)
3.15478672240088e+04	(1.90172518394278e+01dB,1.52825721893663e+02°)
3.30346724003789e+04	(1.89332286728162e+01dB,1.51730710001222e+02°)
3.45915485459459e+04	(1.88429305671679e+01dB,1.50606454673396e+02°)
3.62217980037485e+04	(1.87460327380532e+01dB,1.49453843646234e+02°)
3.79288787514582e+04	(1.86422146656054e+01dB,1.48273953755353e+02°)
3.97164117362130e+04	(1.85311633619762e+01dB,1.47068054549088e+02°)
4.15881885551324e+04	(1.84125768349042e+01dB,1.45837609110532e+02°)
4.35481794978028e+04	(1.82861676852367e+01dB,1.44584271759303e+02°)
4.56005419677942e+04	(1.81516667638543e+01dB,1.43309882370198e+02°)
4.77496293010705e+04	(1.80088268028053e+01dB,1.42016457133657e+02°)
4.99999999999986e+04	(1.78574259274824e+01dB,1.40706175689826e+02°)
5.23564274025435e+04	(1.76972709521932e+01dB,1.39381364690272e+02°)
5.48239098071577e+04	(1.75282003612025e+01dB,1.38044477973277e+02°)
5.74076810748425e+04	(1.73500868817079e+01dB,1.36698073673141e+02°)
6.01132217308689e+04	(1.71628395644041e+01dB,1.35344788712879e+02°)
