time	V(vout)
3.798679376029963e-03	-8.431174e+00
3.818210626029963e-03	-8.060146e+00
3.837741876029963e-03	-7.567943e+00
3.847507501029962e-03	-7.278652e+00
3.857273126029962e-03	-6.961986e+00
3.867038751029962e-03	-6.619134e+00
3.876804376029962e-03	-6.251388e+00
3.886570001029961e-03	-5.860128e+00
3.896335626029961e-03	-5.446826e+00
3.906101251029961e-03	-5.013035e+00
3.915866876029961e-03	-4.560383e+00
3.925632501029961e-03	-4.090572e+00
3.935398126029960e-03	-3.605367e+00
3.945163751029960e-03	-3.106589e+00
3.954929376029960e-03	-2.596113e+00
3.964695001029960e-03	-2.075857e+00
3.974460626029960e-03	-1.547777e+00
3.984226251029959e-03	-1.013857e+00
3.993991876029959e-03	-4.761062e-01
4.003757501029959e-03	6.345326e-02
4.013523126029959e-03	6.027907e-01
4.023288751029959e-03	1.139876e+00
4.033054376029958e-03	1.672686e+00
4.042820001029958e-03	2.199215e+00
4.052585626029958e-03	2.717479e+00
4.062351251029958e-03	3.225524e+00
4.072116876029958e-03	3.721436e+00
4.081882501029957e-03	4.203345e+00
4.091648126029957e-03	4.669435e+00
4.101413751029957e-03	5.117950e+00
4.111179376029957e-03	5.547200e+00
4.130710626029956e-03	6.342017e+00
4.150241876029956e-03	7.041420e+00
4.169773126029955e-03	7.634751e+00
4.189304376029955e-03	8.113100e+00
4.208835626029955e-03	8.469300e+00
4.228366876029954e-03	8.698028e+00
4.247898126029954e-03	8.795882e+00
4.267429376029953e-03	8.761436e+00
4.286960626029953e-03	8.595250e+00
4.306491876029953e-03	8.299870e+00
4.326023126029952e-03	7.879776e+00
4.345554376029952e-03	7.341319e+00
4.365085626029951e-03	6.692626e+00
4.384616876029951e-03	5.943477e+00
4.394382501029951e-03	5.534671e+00
4.404148126029950e-03	5.104726e+00
4.413913751029950e-03	4.655589e+00
4.423679376029950e-03	4.188935e+00
4.433445001029950e-03	3.706522e+00
4.443210626029950e-03	3.210162e+00
4.452976251029949e-03	2.701721e+00
4.462741876029949e-03	2.183110e+00
4.472507501029949e-03	1.656278e+00
4.482273126029949e-03	1.123206e+00
4.492038751029949e-03	5.858993e-01
4.501804376029948e-03	4.637746e-02
4.511570001029948e-03	-4.933290e-01
4.521335626029948e-03	-1.031189e+00
4.531101251029948e-03	-1.565177e+00
4.540866876029948e-03	-2.093282e+00
4.550632501029947e-03	-2.613514e+00
4.560398126029947e-03	-3.123914e+00
4.570163751029947e-03	-3.622556e+00
4.579929376029947e-03	-4.107562e+00
4.589695001029947e-03	-4.577101e+00
4.599460626029946e-03	-5.029403e+00
4.609226251029946e-03	-5.462763e+00
4.618991876029946e-03	-5.875546e+00
4.628757501029946e-03	-6.266195e+00
4.638523126029945e-03	-6.633238e+00
4.648288751029945e-03	-6.975291e+00
4.658054376029945e-03	-7.291066e+00
4.677585626029945e-03	-7.839127e+00
4.697116876029944e-03	-8.269178e+00
4.716648126029944e-03	-8.574778e+00
4.736179376029943e-03	-8.751320e+00
4.755710626029943e-03	-8.796181e+00
4.775241876029943e-03	-8.708726e+00
4.794773126029942e-03	-8.490314e+00
4.814304376029942e-03	-8.144255e+00
4.833835626029941e-03	-7.675746e+00
4.843601251029941e-03	-7.397717e+00
4.853366876029941e-03	-7.091863e+00
4.863132501029941e-03	-6.759336e+00
