Freq.	V(vout)
4.99999999999990e+04	(1.89602121856985e+01dB,1.54095125864217e+02°)
5.23564274025439e+04	(1.87839871846351e+01dB,1.51720839207525e+02°)
5.48239098071581e+04	(1.85934747444065e+01dB,1.49393136724662e+02°)
5.74076810748429e+04	(1.83892676989888e+01dB,1.47114553122267e+02°)
6.01132217308694e+04	(1.81719752471334e+01dB,1.44887259070290e+02°)
6.29462705897070e+04	(1.79422169721047e+01dB,1.42713065220126e+02°)
6.59128369278189e+04	(1.77006172255042e+01dB,1.40593430710539e+02°)
6.90192132301427e+04	(1.74477999491345e+01dB,1.38529475551169e+02°)
7.22719885372948e+04	(1.71843839887254e+01dB,1.36521996238925e+02°)
7.56780624218087e+04	(1.69109789339534e+01dB,1.34571483954768e+02°)
7.92446596230539e+04	(1.66281815012584e+01dB,1.32678144704045e+02°)
8.29793453718762e+04	(1.63365724600615e+01dB,1.30841920798175e+02°)
8.68900414374668e+04	(1.60367140894444e+01dB,1.29062513124794e+02°)
9.09850429304971e+04	(1.57291481413489e+01dB,1.27339403712870e+02°)
9.52730358981602e+04	(1.54143942778880e+01dB,1.25671878164679e+02°)
9.97631157484417e+04	(1.50929489443085e+01dB,1.24059047594231e+02°)
1.00000000000000e+05	(1.50762222559664e+01dB,1.23977449412071e+02°)
